SubCategoryID,GroupName,SubGroup,ItemName,ItemDescription,ItemCode,Manufacturer_ID,Manufacturer,Expirable,MinLevel,MaxLevel,ReorderLevel,ReorderQty,MinUnit,MaxUnit,ConversionFactor
,MEDICAL STORE,BANDAGE,BAND AID,BAND AID,,,JOHNSON & JOHNSON,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,BAND AID,BAND AID,,,BELLADONA PLASTER LTD,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,BAND AID,BAND AID,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,BANDAGE ROLL,BANDAGE ROLL,,,VENKATESH SURGICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,EASY FIX {N.S} -M,EASY FIX {N.S} -M,,,DYNAMIC,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,RAPIDUR 10CM,RAPIDUR 10CM,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,RAPIDUR 15CM,RAPIDUR 15CM,,,BSN MEDICAL,,,,,,NOS,NOS,1
,MEDICAL STORE,BANDAGE,TOPCREPE 10CM,TOPCREPE 10CM,,,DYNAMIC,,,,,,NOS,NOS,1
,MEDICAL STORE,CANNULA,BD IV CONNECTA 100CM,BD IV CONNECTA 100CM,,,BD PHARMA,,,,,,NOS,NOS,1
,MEDICAL STORE,CANNULA,TRACHECOSTOMY TUBE - 9 SIZE,TRACHECOSTOMY TUBE - 9 SIZE,,,PORTEX,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1 CHROMIC 1/2  CRB 4226,1 CHROMIC 1/2  CRB 4226,,,ETHICON,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1 CHROMIC 1/2  CRB 4226,1 CHROMIC 1/2  CRB 4226,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1 HILON HL 3328,1 HILON HL 3328,,,HI+CARE,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1 PROLENE 883,1 PROLENE 883,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1 TRUGLYDE 2347VS,1 TRUGLYDE 2347VS,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,1-0 TRULON SN 3348,1-0 TRULON SN 3348,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0  PLAIN 2003,2-0  PLAIN 2003,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 ETHILON 3336,2-0 ETHILON 3336,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 MERSILK 5036,2-0 MERSILK 5036,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 MERSILK 5333,2-0 MERSILK 5333,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 MERSILK NW 5331,2-0 MERSILK NW 5331,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 PLAIN 5033,2-0 PLAIN 5033,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 TRULON 3336,2-0 TRULON 3336,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 TRULON SN 3336,2-0 TRULON SN 3336,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,2-0 TRUSILK 5036,2-0 TRUSILK 5036,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 CHROMIC 4237,3-0 CHROMIC 4237,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 ETHILON 3328,3-0 ETHILON 3328,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 MONOCRYL 3326,3-0 MONOCRYL 3326,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 PROLINE NW 825,3-0 PROLINE NW 825,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 TRUGLYDE 2516,3-0 TRUGLYDE 2516,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 TRUGLYDE SN 2437,3-0 TRUGLYDE SN 2437,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 TRUGUT SN 4201,3-0 TRUGUT SN 4201,,,SUTURES INDIA,,,,,,NOS,NOS,1
,MEDICAL STORE,CATGUTS,3-0 TRULON SN3328,3-0 TRULON SN3328,,,SUTURES INDIA,,,,,,NOS,NOS,1
