SubGroup,ItemName,ItemCode,RateList
SKIN,Excision of Moles,23,397
SKIN,Excision of Warts,24,357
SKIN,Excision of Molluscum contagiosum,25,150
SKIN,Excision of Veneral Warts,26,184
SKIN,Excision of Corns,27,161
SKIN,I/D Injection Keloid,28,112
SKIN,Chemical Cautery (s),29,127
OPTHALMOLOGY,Subconjunctival/subtenons injections in one eyes,30,79
OPTHALMOLOGY,Subconjunctival/subtenons injections in both eyes,31,158
OPTHALMOLOGY,Pterygium Surgery,32,99
OPTHALMOLOGY,Conjunctival Peritomy,33,67
OPTHALMOLOGY,"Conjunctival wound repair or exploration following blunt
trauma",34,132
OPTHALMOLOGY,Removal of corneal foreign body,35,132
OPTHALMOLOGY,Cauterization of ulcer/subconjunctival injection in one eye,36,79
OPTHALMOLOGY,Cauterization of ulcer/subconjunctival injection in both eyes,37,159
OPTHALMOLOGY,Corneal grafting?Penetrating keratoplasty,38,6613
OPTHALMOLOGY,Corneal grafting?Lamellar keratoplasty,39,5750
OPTHALMOLOGY,Cyanoacrylate /fibrin glue application for corneal perforation,40,794
OPTHALMOLOGY,Bandage contact lenses for corneal perforation,41,529
OPTHALMOLOGY,Scleral grafting or conjunctival flap for corneal perforation,42,2645
OPTHALMOLOGY,Keratoconus correction with therapeutic contact lenses,43,1380
OPTHALMOLOGY,UV radiation for cross-linking for keratoconus,44,2070
OPTHALMOLOGY,EDTA for band shaped keratopathy,45,992
OPTHALMOLOGY,Arcuate keratotomy for astigmatism,46,3220
OPTHALMOLOGY,Re-suturing (Primary suturing) of corneal wound,47,1323
OPTHALMOLOGY,Penetrating keratoplasty ---- with glaucoma surgery,48,13966
OPTHALMOLOGY,Penetrating keratoplasty --- with vitrectomy,49,13966
OPTHALMOLOGY,Penetrating keratoplasty ---- with IOL implantation,50,15703
OPTHALMOLOGY,DALK- Deep anterior lamellar keratoplasty,51,19838
OPTHALMOLOGY,Keratoprosthesis stage I and II,52,13225
OPTHALMOLOGY,"DSAEK- Descemet?s stripping automated endothelial
keratoplasty",53,19176
OPTHALMOLOGY,ALTK- Automated lamellar therapeutic keratoplasty,54,18975
OPTHALMOLOGY,Probing and Syringing of lacrimal sac- in one eye,55,79
OPTHALMOLOGY,Probing and Syringing of lacrimal sac- in both eye,56,159
