VendorName,ContactPerson,Address1,Address2,Address3,Country,City,Area,Pin,Telephone,Fax,Mobile,DrugLicence,VATNo,TinNo,VendorCode,VendorType,VendorCategory,Bank,AccountNo,PaymentMode,ShipmentDetail,Email,CreditDays
PARVATHY AGENCIES,MR.VIJAYA KUMAR,,,,,,,,2541576,,9364444776,,,,1,,,,,,,,
SRI RATHNA AGENCIES,MR.CHANDHRU,,,,,,,,,,965500517,,,,2,,,,,,,,
NAGAMMAI PHARMA,MR.CHINAIAN,,,,,,,,,,9894988916,,,,3,,,,,,,,
GEETHA PHARMA,MR.DEVA,,,,,,,,,,8220444315,,,,4,,,,,,,,
PALEPU PHARMA,MR. MR.RASAC,,,,,,,,,,9597562165,,,,5,,,,,,,,
AMBAL PHARMA,MR. VENKET,,,,,,,,4227613,,9449218662,,,,6,,,,,,,,
PURANI HOSPITALS PVT LTD-PHARMA,MR. MOORTHY,,,,,,,,4227613,,9994935509,,,,7,,,,,,,,
PURANI HOSPITALS PVT LTD-SPL,MR.MOORTHY,,,,,,,,4227613,,9994935510,,,,8,,,,,,,,
PURANI HOSPITALS PVT LTD- DIGNOSTICS,MR. KALISELVAN,,,,,,,,4227613,,9994935503,,,,9,,,,,,,,
PURANI HOSPITALS PVT LTD- VACCINE,MR. MOORTHY,,,,,,,,4227613,,9600912350,,,,10,,,,,,,,
MEENA AGENCIES,MR.MOHAN,,,,,,,,2495818,,9003404650,,,,11,,,,,,,,
SUCCESS PHARMA,MR.CHINAIAN,,,,,,,,254355,,9443756778,,,,12,,,,,,,,
VACCINE HOUSE,MR.RAGAVENDRAN,,,,,,,,,,9047051005,,,,13,,,,,,,,
SANTHOSH ENTERPRISES,MR.SURESH,,,,,,,,,,9894143001,,,,14,,,,,,,,
RASI ENTERPRISES,MR. SENTHIL,,,,,,,,2595627,,9585222533,,,,15,,,,,,,,
SURGICARE,MR. MANIKANDAN,,,,,,,,2230023,,9842875255,,,,16,,,,,,,,
SHRI LATHIKA SURGICAL,MR.BALU,,,,,,,,,,9486286856,,,,17,,,,,,,,
SABERWAL SURGICALS,MR.KUMAR / MR .SIVARAM,,,,,,,,,,9843890004,,,,18,,,,,,,,
CHINTHAMANI AGENCIES,MR.RAMU,,,,,,,,,,9865286752,,,,19,,,,,,,,
HEALTH CARE AGENCIES,MR.KANAN / MR. STEPHEN,,,,,,,,,,8608474997,,,,20,,,,,,,,
COVAI DRUG HOUSE,MR. MURUGAN,,,,,,,,2433148,,8124024081,,,,21,,,,,,,,
UMAYAL AENCIES,MR. RAMANATHAN,,,,,,,,2344502,,9994310414,,,,22,,,,,,,,
SHANKAR SURGICAL,MR. RANJITH / MR. BABU,,,,,,,,9600355532,,9843990008,,,,23,,,,,,,,
LAKSHMI ENTERPRISES,MRS. SUMITHRA,,,,,,,,2412121,,9842254111,,,,24,,,,,,,,
MSS SURGICAL,MRS. PRIYA,,,,,,,,,,9894384716,,,,25,,,,,,,,
JAYNTHI PHARMA,MR. MUTHUKUMAR / MRS. MALAR,,,,,,,,,,9600668939,,,,26,,,,,,,,
GAJALAKSHMI MEDICAL AGENCIES,MR.MANIKANDAN,,,,,,,,,,7598212648,,,,27,,,,,,,,
NEELAMEGAM PHARMA,MR.GOPLA KRISHNAN,,,,,,,,,,9942436632,,,,28,,,,,,,,
ROODEX HEALTH CARE,MR.RAJESH,,,,,,,,,,9043393683,,,,29,,,,,,,,
